id,gender,age,major,year_study,campus,gpa,internet_hours,smartphone_use,lms_use,ai_experience,pe1,pe2,pe3,pe4,ee1,ee2,ee3,ee4,si1,si2,si3,si4,fc1,fc2,fc3,fc4,dr1,dr2,dr3,dr4,tr1,tr2,tr3,tr4,bi1,bi2,bi3,au1,au2,au3
ST011,Male,24,Business Administration,3,Ho Chi Minh,8.23,6,4,2,4,4,4,3,4,3,4,4,3,1,1,2,1,3,2,2,2,4,4,5,5,5,5,5,5,5,5,5,3,3,3
ST012,Female,23,Information Technology,2,Da Nang,7.5,6.4,4,1,2,5,2,2,5,4,4,4,3,3,3,4,2,3,2,3,4,5,4,4,3,3,4,5,4,5,5,5,5,3,4
ST013,Female,24,Information Technology,2,Can Tho,7.25,6.3,2,2,4,4,3,2,3,4,3,4,3,2,3,2,3,4,3,2,2,4,3,5,4,5,5,3,4,4,5,5,5,3,5
ST014,Female,22,Business Administration,2,Ho Chi Minh,6.49,6.2,4,1,3,4,3,4,4,4,5,5,4,4,2,3,3,4,4,2,3,2,2,3,3,3,3,4,4,5,4,5,5,4,4
ST015,Female,21,Digital Marketing,2,Can Tho,8.04,4.4,3,4,2,4,2,3,4,3,3,5,4,2,2,4,3,4,4,4,3,5,5,4,3,4,3,4,4,4,5,5,4,5,3
ST016,Female,23,Digital Marketing,1,Ho Chi Minh,7.45,0.5,2,5,4,4,4,4,3,3,3,4,3,1,2,3,2,4,3,3,5,3,3,5,3,4,5,4,4,4,5,5,3,3,3
ST017,Female,21,Graphic Design,1,Ho Chi Minh,6.95,1.7,3,4,2,4,4,5,5,4,4,3,4,2,2,3,3,3,3,4,2,4,2,4,3,4,2,4,4,5,4,5,5,4,4
ST018,Female,20,Logistics,3,Ha Noi,6.71,5.8,4,4,1,3,2,4,4,3,2,4,3,4,4,2,3,4,4,4,4,4,3,4,4,5,5,4,5,3,5,5,5,4,5
ST019,Male,22,Hospitality,1,Da Nang,8.02,6.7,1,5,1,2,2,3,4,4,2,4,3,3,3,2,2,4,5,5,4,4,4,4,2,3,4,3,4,5,4,5,5,5,5
ST020,Male,22,Graphic Design,3,Can Tho,8.64,4.6,4,2,2,3,1,2,3,3,3,4,3,5,3,4,5,2,3,1,3,3,2,3,2,4,5,4,5,5,5,4,4,4,4
ST021,Female,24,Information Technology,3,Ho Chi Minh,7.41,1.7,5,1,1,4,5,4,4,3,2,2,3,4,2,5,4,4,5,3,3,2,4,3,1,4,3,5,5,5,5,5,4,4,4
ST022,Male,22,Logistics,1,Can Tho,6.49,1.3,2,4,2,5,4,5,4,3,5,4,4,3,2,3,4,4,2,4,2,4,4,5,5,3,4,3,2,5,5,5,4,4,3
ST023,Male,24,Graphic Design,1,Da Nang,8.08,4.6,1,5,5,5,4,4,5,4,4,3,2,3,4,3,3,4,4,4,3,5,5,5,4,5,4,5,4,5,5,4,4,5,4
ST024,Female,20,Graphic Design,2,Can Tho,4.83,3.1,3,5,3,3,3,4,5,5,4,4,3,2,2,2,2,4,4,3,5,5,4,5,3,5,3,5,3,5,5,5,5,5,4
ST025,Male,23,Business Administration,2,Ho Chi Minh,8.91,5.5,2,1,2,5,3,3,4,3,3,4,3,3,3,4,2,5,5,2,3,2,2,3,2,2,5,3,5,4,5,4,3,4,4
ST026,Female,19,Hospitality,2,Da Nang,7.2,1.8,4,5,3,5,5,5,5,5,4,3,4,1,2,2,2,2,4,4,3,5,5,5,5,4,4,5,5,5,5,4,5,5,4
ST027,Female,23,Digital Marketing,2,Ha Noi,6.23,6.1,3,1,4,5,5,4,5,3,2,2,3,5,4,4,4,3,3,2,3,4,4,3,4,5,4,5,5,5,5,5,3,4,4
ST028,Female,24,Information Technology,3,Da Nang,6.95,6.6,1,5,1,4,5,4,5,3,5,4,5,2,3,3,4,4,3,3,3,4,5,3,4,2,3,4,4,5,4,5,5,4,4
ST029,Female,19,Business Administration,3,Ho Chi Minh,6.58,6.5,3,3,1,5,4,5,5,5,4,4,5,3,4,5,3,5,5,4,5,5,5,5,4,5,4,5,3,5,4,5,4,5,3
ST030,Female,23,Graphic Design,1,Da Nang,9.2,3.1,5,2,3,5,5,5,4,5,3,3,5,3,2,4,3,2,3,3,3,4,4,3,4,3,4,2,5,5,4,3,4,5,5
ST031,Male,18,Logistics,1,Can Tho,7.22,2.4,4,5,1,3,4,3,3,4,4,5,5,3,4,4,3,4,4,4,3,5,4,5,3,5,4,4,4,5,5,5,3,4,5
ST032,Female,20,Digital Marketing,3,Da Nang,7.97,3,2,5,2,5,5,5,4,4,5,5,5,2,3,5,3,5,4,4,4,3,3,5,4,5,5,5,5,5,5,5,3,3,4
ST033,Female,23,Information Technology,2,Ho Chi Minh,7.52,6.3,2,4,3,3,3,5,5,3,2,3,4,4,3,3,5,3,4,5,4,1,4,4,2,4,4,5,5,4,5,4,4,3,5
ST034,Male,22,Hospitality,2,Ha Noi,6.48,5.9,5,5,0,5,4,5,4,4,3,5,4,4,4,3,4,4,4,4,5,3,5,1,3,4,4,3,2,5,4,4,4,3,4
ST035,Female,22,Graphic Design,3,Can Tho,6.32,3.7,4,1,1,3,2,2,2,1,3,5,3,2,2,3,1,2,3,2,3,4,2,3,3,4,5,3,3,4,4,5,4,3,4
ST036,Male,19,Digital Marketing,1,Da Nang,8.28,6.6,1,5,3,4,4,4,5,4,3,4,5,2,4,3,2,4,5,5,4,4,5,4,4,5,5,5,4,5,4,5,3,5,3
ST037,Female,22,Digital Marketing,3,Da Nang,7.7,6.4,5,5,2,3,4,4,5,5,5,3,5,1,2,1,2,3,4,3,4,4,5,5,5,3,4,5,4,4,5,5,4,4,3
ST038,Female,19,Logistics,3,Ho Chi Minh,5.9,5.6,1,1,1,4,2,3,3,3,4,5,4,2,4,1,3,3,3,3,2,1,2,2,3,4,4,4,3,5,4,5,3,4,3
ST039,Male,20,Logistics,2,Can Tho,8.07,5,1,4,5,4,3,4,4,4,3,4,4,2,4,1,3,3,2,2,2,4,4,5,5,5,4,5,4,5,5,5,5,4,4
ST040,Female,19,Information Technology,3,Can Tho,6.72,8.4,3,4,1,3,3,2,3,4,4,5,3,4,5,3,3,3,2,2,3,4,5,5,5,4,5,2,3,4,4,5,5,4,4
ST041,Female,22,Information Technology,1,Da Nang,6.51,4,2,2,0,4,4,3,3,4,4,3,2,3,4,2,3,3,2,3,3,2,3,4,3,4,4,5,4,5,5,5,4,5,5
ST042,Male,22,Graphic Design,3,Ho Chi Minh,7.49,5.5,5,4,3,3,4,4,4,3,4,3,4,4,4,3,4,3,3,2,3,5,4,5,5,5,4,4,4,5,4,4,4,3,3
ST043,Male,21,Logistics,2,Ha Noi,7.63,5.3,4,2,2,3,4,5,4,3,5,3,3,4,2,3,4,3,3,4,3,2,4,4,3,5,5,5,5,5,5,5,5,4,4
ST044,Female,18,Hospitality,1,Can Tho,7.05,7.3,2,4,1,3,5,5,3,4,3,4,1,5,4,3,4,3,4,3,2,4,3,3,4,3,5,3,4,5,5,4,4,5,4
ST045,Male,23,Digital Marketing,1,Ha Noi,6.53,6.6,2,2,3,4,3,4,3,4,3,4,4,2,2,2,2,3,4,3,4,3,4,3,4,4,4,4,3,4,4,4,5,5,5
ST046,Male,23,Graphic Design,3,Can Tho,6.38,5,5,4,0,4,5,5,5,5,5,5,4,3,1,3,3,5,4,4,4,4,4,5,4,4,4,5,5,5,5,5,4,5,5
ST047,Male,24,Information Technology,3,Da Nang,6.03,4.9,3,4,3,3,4,5,5,3,3,3,3,3,3,4,5,3,4,4,3,5,3,5,3,4,4,4,4,5,5,4,2,5,3
ST048,Male,23,Graphic Design,1,Da Nang,5.89,3.2,1,4,5,5,5,5,5,4,5,4,5,2,4,4,4,3,3,4,4,5,5,5,4,4,5,5,4,5,4,5,5,3,2
ST049,Female,23,Information Technology,3,Ho Chi Minh,6.87,6.5,3,3,1,3,5,5,5,3,3,4,5,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,3,3,3,5
ST050,Female,18,Digital Marketing,3,Ha Noi,7.38,6.7,4,5,3,4,4,5,5,2,3,3,4,3,3,3,4,3,5,3,3,5,4,5,5,5,5,5,5,5,5,5,4,4,5
ST051,Female,22,Graphic Design,3,Can Tho,7.25,6.6,5,2,0,4,5,5,5,5,4,4,4,3,4,3,4,3,3,3,3,4,3,5,3,4,5,4,4,4,5,5,5,3,4
ST052,Female,20,Information Technology,2,Da Nang,6.83,1.8,3,2,4,4,5,4,3,4,4,3,4,5,3,4,3,3,3,4,4,2,4,3,2,3,4,4,4,4,4,4,5,4,5
ST053,Male,20,Digital Marketing,1,Da Nang,8.77,6.2,5,3,1,4,5,5,5,3,3,3,2,3,4,3,4,2,3,3,3,4,4,4,3,4,4,5,4,5,4,4,4,4,4
ST054,Female,19,Business Administration,3,Da Nang,6.86,3.5,4,4,5,4,5,4,4,5,4,5,4,3,4,3,3,4,5,5,5,5,5,5,5,4,4,4,3,5,4,5,3,4,3
ST055,Male,19,Business Administration,3,Ha Noi,7.05,6.6,1,1,2,3,3,3,3,4,3,2,4,3,4,3,5,3,1,2,1,3,3,3,3,1,3,3,3,5,5,4,2,3,3
ST056,Male,18,Hospitality,2,Ho Chi Minh,6.53,8.3,2,1,3,3,2,4,4,4,5,3,3,3,4,4,3,3,3,2,2,5,3,4,3,4,5,5,5,5,4,4,5,5,5
ST057,Female,24,Graphic Design,1,Ho Chi Minh,6.75,5.4,4,2,5,3,5,3,2,5,4,3,5,3,2,2,4,2,4,2,3,4,5,5,5,2,3,3,2,5,4,3,3,4,3
ST058,Female,21,Graphic Design,2,Ha Noi,6.31,4.4,4,2,1,5,3,3,4,5,4,4,3,2,2,2,1,3,3,3,3,3,3,3,3,4,3,4,5,5,4,5,4,3,4
ST059,Male,21,Graphic Design,2,Ha Noi,7.32,6,1,5,0,5,3,4,3,2,3,3,2,1,2,1,2,3,3,2,5,4,3,3,4,4,5,5,5,5,5,4,5,4,5
ST060,Male,22,Graphic Design,1,Da Nang,6.99,7.7,4,2,5,4,4,5,4,5,3,4,3,4,5,2,5,3,3,3,4,4,5,2,4,4,4,4,4,5,5,4,2,2,3
ST061,Female,18,Graphic Design,3,Can Tho,7.7,5.1,2,3,4,5,3,4,4,3,3,3,3,3,2,4,4,1,3,1,1,3,2,3,5,4,4,4,5,5,5,5,4,4,3
ST062,Male,23,Business Administration,1,Ho Chi Minh,7.9,6,2,5,4,5,4,3,4,5,3,5,5,3,3,2,4,3,2,3,4,4,4,5,5,5,4,3,4,5,5,5,4,3,5
ST063,Male,22,Digital Marketing,2,Can Tho,6.3,5.8,5,4,3,5,2,5,4,3,2,3,4,4,3,3,2,3,1,4,3,5,5,5,4,3,5,4,3,5,5,5,5,5,5
ST064,Female,23,Digital Marketing,1,Ho Chi Minh,6.44,6.2,3,5,2,3,3,4,2,4,4,3,4,2,4,4,3,3,4,4,4,5,3,5,4,2,5,4,5,5,5,5,3,5,3
ST065,Male,20,Logistics,1,Ho Chi Minh,7.31,6.2,1,5,1,4,5,5,4,5,4,3,4,3,1,1,3,5,4,4,4,4,5,5,4,5,4,5,5,5,5,5,5,4,3
ST066,Female,24,Hospitality,1,Da Nang,7.11,2.9,3,4,0,3,4,3,3,5,4,4,4,1,2,2,2,4,5,3,3,4,4,3,3,2,2,2,1,5,5,5,5,4,4
ST067,Male,23,Hospitality,2,Ha Noi,6.04,3.9,5,3,2,4,3,4,2,3,3,4,4,3,3,2,2,5,4,3,4,3,4,3,2,5,5,3,5,3,4,5,4,3,4
ST068,Male,22,Logistics,2,Ho Chi Minh,5.77,5.5,4,1,1,4,3,1,3,4,4,3,5,2,3,3,4,2,4,3,4,2,2,3,3,4,3,4,5,5,5,4,3,5,4
ST069,Female,24,Hospitality,1,Ha Noi,7.02,3.8,4,1,1,4,4,3,3,3,3,4,4,3,3,3,2,2,2,3,2,2,4,2,3,3,3,5,5,4,4,5,4,3,4
ST070,Female,23,Logistics,1,Ha Noi,8.67,3.9,3,5,2,4,3,5,5,4,3,3,4,1,2,2,2,4,4,5,3,5,4,5,5,5,5,3,3,3,3,5,4,5,5
ST071,Female,23,Hospitality,3,Da Nang,7.56,5.3,1,5,2,5,4,5,5,3,5,4,4,2,4,4,4,3,4,4,4,4,3,4,5,3,3,5,3,5,5,5,3,5,4
ST072,Male,22,Graphic Design,3,Ha Noi,7.02,2.4,2,1,1,3,2,4,4,3,3,1,3,3,4,4,3,1,3,3,3,5,4,4,3,2,4,3,3,4,4,2,2,3,2
ST073,Female,20,Digital Marketing,1,Ho Chi Minh,6.84,7.5,5,5,1,5,4,4,5,2,4,3,3,4,5,5,3,4,4,4,3,4,5,4,4,4,5,5,4,4,5,5,3,3,2
ST074,Male,19,Digital Marketing,3,Can Tho,7.52,8.7,5,1,1,5,4,3,3,4,3,5,4,2,4,3,5,2,4,2,1,1,4,3,3,5,4,4,3,4,4,5,3,5,4
ST075,Female,24,Logistics,1,Ho Chi Minh,6.06,8.4,4,5,5,3,3,4,3,4,3,3,4,3,3,3,2,4,3,3,4,5,5,5,5,5,3,4,3,4,5,5,5,5,4
ST076,Male,20,Digital Marketing,3,Da Nang,6.14,5.8,1,4,3,4,5,4,4,4,4,3,4,4,2,2,2,4,4,3,5,5,5,3,3,4,4,4,4,4,5,4,4,2,5
ST077,Female,20,Business Administration,1,Ho Chi Minh,8.9,4.8,1,4,0,4,5,5,4,4,4,4,3,2,3,2,1,4,3,4,3,4,4,4,4,4,5,4,5,5,4,4,5,4,5
ST078,Male,22,Information Technology,2,Can Tho,6.9,8.6,1,4,3,2,2,3,4,3,4,4,3,2,4,3,4,3,3,3,3,5,4,5,3,5,5,5,5,5,5,5,5,4,5
ST079,Male,23,Information Technology,2,Ho Chi Minh,7.37,5.3,4,3,2,4,5,5,5,5,5,3,4,2,1,3,4,4,1,2,3,4,2,4,3,3,2,5,4,4,4,5,5,4,5
ST080,Female,20,Graphic Design,3,Da Nang,8.8,8.1,3,1,2,4,4,4,4,3,4,4,2,3,2,3,3,3,3,4,3,4,4,3,3,4,3,4,4,3,4,4,3,5,4
ST081,Female,22,Digital Marketing,3,Ha Noi,6.73,1.3,4,4,2,5,5,4,5,5,5,4,4,2,2,1,2,5,5,4,4,4,4,5,3,5,4,5,5,5,5,4,5,4,5
ST082,Female,21,Business Administration,1,Can Tho,7.35,5.6,4,1,1,3,3,3,4,3,3,4,3,4,5,5,4,4,3,4,3,2,3,3,4,4,4,4,4,5,5,5,4,4,3
ST083,Female,24,Business Administration,1,Da Nang,6.88,7.4,4,3,5,2,5,3,2,3,4,4,3,2,3,3,3,3,3,3,3,4,4,3,5,5,5,5,4,4,4,5,4,3,3
ST084,Female,19,Hospitality,1,Ho Chi Minh,6.96,6.5,4,1,2,3,3,3,3,2,3,3,2,3,4,3,2,3,3,3,3,3,3,2,5,4,5,4,4,5,5,5,3,2,4
ST085,Male,24,Graphic Design,1,Can Tho,7.21,8.1,2,1,3,4,3,2,3,3,3,5,4,2,3,2,2,3,1,3,1,2,3,3,4,3,5,5,5,5,4,5,4,2,4
ST086,Male,18,Business Administration,1,Ho Chi Minh,8.39,6,5,5,3,5,5,5,5,2,3,2,3,3,3,3,3,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,3,4,3
ST087,Male,22,Graphic Design,3,Ho Chi Minh,7.56,7.2,4,4,1,4,5,4,4,3,4,3,2,3,2,3,3,5,4,5,3,4,4,3,5,5,5,5,5,5,5,5,4,3,4
ST088,Female,19,Business Administration,3,Ho Chi Minh,6.64,5.2,4,1,1,3,4,2,3,4,4,3,4,3,4,3,3,3,4,5,2,2,3,2,3,4,4,4,5,5,4,4,4,4,2
ST089,Female,21,Digital Marketing,3,Can Tho,6.29,5.8,1,3,5,5,5,5,4,3,3,3,3,4,3,3,2,4,4,5,4,4,4,4,3,5,3,5,4,5,4,5,5,4,5
ST090,Female,24,Information Technology,3,Ho Chi Minh,7.57,4.5,1,5,1,5,5,5,5,3,4,3,4,2,3,2,4,4,4,4,4,3,4,5,5,4,4,4,4,4,4,4,4,5,5
ST091,Male,24,Graphic Design,2,Ho Chi Minh,7.92,5.2,3,5,1,4,4,5,4,2,3,5,3,3,3,3,3,3,3,4,4,5,4,5,5,5,5,4,5,5,5,3,3,4,4
ST092,Female,23,Logistics,3,Ho Chi Minh,7.04,10.3,2,2,3,5,4,3,4,2,3,3,3,5,5,3,4,2,3,3,4,3,5,5,4,4,5,4,4,5,5,5,3,2,4
ST093,Male,18,Information Technology,2,Ha Noi,6.85,6.7,3,1,2,3,4,2,4,4,3,4,2,5,4,4,5,3,3,2,1,2,2,3,2,4,4,3,3,5,5,5,2,3,2
ST094,Male,19,Graphic Design,3,Ha Noi,7.63,4.1,1,4,3,3,3,4,4,3,4,3,4,2,3,3,4,1,4,5,3,4,4,4,5,5,5,3,3,5,5,5,5,4,4
ST095,Male,21,Digital Marketing,1,Da Nang,6.19,3.8,3,4,1,5,5,5,5,4,4,4,5,2,3,2,3,4,2,4,4,3,4,4,4,3,5,4,3,5,5,5,4,4,4
ST096,Female,19,Business Administration,3,Can Tho,7.32,6.4,4,1,2,5,3,4,3,4,3,3,4,3,5,5,5,3,4,2,4,2,3,3,2,4,3,4,4,4,5,4,4,5,3
ST097,Male,20,Hospitality,3,Ha Noi,6.97,5.7,1,2,4,5,2,3,4,3,3,4,3,2,3,2,2,2,3,3,3,2,3,3,4,5,3,4,4,4,5,5,5,5,4
ST098,Male,19,Logistics,2,Ha Noi,7.55,7,5,1,1,3,4,4,4,3,5,4,4,5,5,4,5,3,4,4,3,3,5,3,3,3,4,3,3,5,4,4,3,3,3
ST099,Male,21,Digital Marketing,3,Ha Noi,8.6,5.2,1,2,3,5,5,5,5,3,4,4,4,4,4,2,3,4,1,2,2,4,4,3,3,5,5,4,5,5,5,5,5,5,4
ST100,Female,22,Hospitality,2,Ho Chi Minh,8.52,8.3,1,4,5,5,5,3,5,3,3,2,1,1,2,2,1,3,2,3,4,5,5,4,4,4,5,3,3,4,5,5,4,4,5
ST101,Female,22,Business Administration,3,Da Nang,8.38,4,3,2,2,4,5,5,5,2,3,4,4,3,3,2,3,3,4,4,3,2,3,3,3,5,5,5,5,4,5,5,3,2,3
ST102,Female,18,Digital Marketing,3,Ha Noi,6.49,6.9,4,5,3,5,4,5,5,4,3,3,5,3,4,3,2,4,4,4,5,4,5,4,4,4,4,5,4,5,4,5,3,5,5
ST103,Female,21,Business Administration,1,Ha Noi,8.21,0.5,5,5,2,4,4,3,4,3,4,4,4,1,1,1,1,5,4,5,5,5,5,5,5,5,4,5,2,5,5,5,4,5,4
ST104,Female,22,Hospitality,2,Da Nang,7.53,6,5,4,0,3,5,4,3,2,4,3,2,1,3,2,3,5,2,3,2,3,3,4,4,5,4,5,5,5,5,5,4,5,4
ST105,Male,19,Information Technology,3,Can Tho,7.87,1.4,1,5,3,5,5,4,3,2,5,5,4,3,2,4,3,4,3,3,4,4,4,5,4,5,5,4,4,5,4,5,5,5,5
ST106,Female,22,Digital Marketing,2,Can Tho,7.44,6.1,4,4,1,3,3,4,3,4,3,4,3,2,2,2,2,4,4,4,5,3,5,4,2,3,4,4,4,5,5,5,5,4,3
ST107,Female,20,Hospitality,3,Ha Noi,5.91,4.6,1,1,5,4,5,4,5,4,4,4,4,1,3,4,2,3,1,2,3,3,4,3,3,4,4,4,5,3,2,5,4,3,3
ST108,Male,21,Business Administration,2,Ha Noi,7.47,6.1,1,2,1,4,4,4,4,5,5,3,4,4,2,4,5,2,4,4,3,3,3,3,2,3,4,4,4,4,4,5,4,4,5
ST109,Male,21,Business Administration,3,Da Nang,6.67,0.9,5,2,1,5,2,5,4,4,4,3,4,1,4,4,2,4,3,3,4,3,3,3,3,4,5,3,4,5,5,4,5,5,5
ST110,Male,23,Logistics,3,Can Tho,6.9,7.9,2,1,5,3,4,5,4,2,3,2,2,4,2,3,3,3,2,3,2,5,4,3,5,5,3,4,4,5,5,3,3,5,4
ST111,Female,20,Logistics,1,Ho Chi Minh,8.25,4.1,4,4,4,5,5,5,5,4,5,4,4,2,3,3,5,3,4,3,4,5,4,4,4,5,5,5,5,5,5,4,5,4,3
ST112,Female,24,Graphic Design,1,Da Nang,5.72,7.4,3,2,1,4,4,3,4,5,5,5,4,3,3,5,3,4,3,5,4,3,2,3,4,4,4,2,3,5,5,5,5,4,5
ST113,Female,21,Business Administration,2,Ha Noi,7.19,6,2,3,4,4,2,3,4,4,4,4,4,2,3,3,2,1,2,3,2,4,5,5,5,3,4,4,4,5,4,5,4,4,5
ST114,Female,24,Digital Marketing,3,Ho Chi Minh,7.24,4.4,5,3,1,5,4,5,3,2,2,2,4,3,3,3,2,5,4,4,5,3,4,2,5,4,3,3,3,5,5,5,4,4,4
ST115,Male,18,Business Administration,3,Da Nang,7.54,5.3,4,2,3,4,5,5,5,5,5,5,5,2,1,3,3,4,5,3,4,5,5,4,5,5,5,5,4,4,5,5,4,4,4
ST116,Male,19,Graphic Design,1,Can Tho,6.8,7.2,3,4,2,4,5,4,5,3,2,3,4,3,3,4,5,5,2,1,4,5,5,5,4,5,4,4,4,5,5,5,5,5,5
ST117,Male,19,Hospitality,2,Can Tho,7.24,4.9,3,4,4,4,4,5,5,4,5,3,3,1,1,2,2,4,4,4,5,5,4,5,4,3,4,5,5,4,5,5,4,4,4
ST118,Male,19,Business Administration,3,Can Tho,8.18,7.2,2,2,3,4,3,5,4,4,3,4,4,5,4,4,3,3,2,3,2,5,5,4,4,4,5,5,4,4,4,5,2,3,1
ST119,Male,19,Business Administration,1,Ho Chi Minh,7.94,6,1,1,3,4,5,5,5,4,3,4,5,3,4,2,3,3,3,4,3,4,4,3,3,2,4,3,4,4,4,5,4,4,4
ST120,Male,19,Business Administration,3,Can Tho,7.64,4.8,5,1,3,4,3,3,3,4,4,4,3,2,3,4,4,3,2,2,3,2,4,4,4,3,2,5,3,5,5,4,4,4,5
ST121,Female,20,Graphic Design,2,Da Nang,6.12,6.5,3,2,3,4,4,5,5,3,4,4,4,3,2,3,3,3,2,5,2,3,3,4,4,5,4,5,4,5,5,5,3,3,5
ST122,Male,19,Graphic Design,2,Da Nang,7.55,5,1,2,0,5,5,4,4,4,5,5,5,2,3,4,3,2,2,3,1,4,5,4,4,5,4,5,5,5,5,5,4,5,3
ST123,Male,20,Information Technology,1,Ho Chi Minh,6.95,5.9,5,3,1,5,5,4,4,4,5,3,3,2,1,1,1,3,4,3,4,2,4,5,3,5,4,3,4,4,5,4,5,4,5
ST124,Female,21,Business Administration,1,Da Nang,7.37,2.8,1,1,1,4,4,4,2,5,4,3,3,3,3,5,3,2,4,3,3,4,3,4,3,4,3,5,4,5,5,5,4,4,4
ST125,Female,22,Graphic Design,1,Ha Noi,8.27,4.8,2,4,1,5,4,4,4,3,4,2,4,3,4,2,3,5,4,5,3,4,5,5,5,5,3,4,5,5,5,5,3,3,4
ST126,Female,24,Digital Marketing,1,Ho Chi Minh,5.63,4.3,3,2,1,2,4,1,3,4,4,3,5,3,5,4,3,4,5,4,5,3,3,3,1,4,3,3,5,5,5,5,4,5,5
ST127,Male,18,Information Technology,3,Da Nang,6.59,6.6,3,5,5,3,4,4,4,3,4,5,4,4,3,4,3,5,4,2,5,5,5,5,5,5,4,4,4,5,5,4,5,4,3
ST128,Female,22,Digital Marketing,1,Da Nang,7.55,4.7,3,1,1,5,4,4,4,4,2,3,3,3,2,3,4,4,2,4,4,2,3,3,3,4,5,4,5,5,5,4,5,4,4
ST129,Male,24,Business Administration,1,Ha Noi,7.22,4,2,2,1,5,5,5,5,3,3,2,1,3,2,4,1,4,3,4,5,5,2,4,3,5,5,5,5,5,5,5,5,4,4
ST130,Male,24,Hospitality,2,Ha Noi,6.88,3.8,5,5,4,4,5,5,4,5,3,4,4,4,2,3,4,2,3,5,2,4,4,5,4,4,4,4,4,5,5,5,4,5,5
ST131,Male,22,Graphic Design,3,Can Tho,7.21,7.9,2,3,1,4,3,4,3,3,4,4,4,2,2,2,2,2,4,4,2,3,4,4,4,4,5,5,3,5,5,5,4,5,4
ST132,Female,23,Hospitality,2,Da Nang,6.88,5.1,2,2,4,4,4,3,4,4,3,3,1,2,2,4,3,5,4,4,2,3,5,4,5,4,4,5,5,5,5,4,3,4,4
ST133,Female,19,Hospitality,2,Ha Noi,6.86,3.2,1,1,2,5,3,3,4,4,3,4,2,2,3,2,3,3,3,3,3,4,1,3,2,4,5,4,4,5,5,4,5,5,4
ST134,Female,19,Logistics,2,Can Tho,6.14,7,3,5,4,3,3,5,5,3,3,3,5,2,2,3,4,4,4,5,4,4,5,5,4,5,4,5,5,5,4,5,4,5,5
ST135,Female,19,Business Administration,1,Ho Chi Minh,6.97,5.5,3,2,2,4,5,4,4,4,3,3,3,4,3,3,4,4,4,3,2,4,4,5,3,3,4,4,4,5,5,5,5,3,5
ST136,Female,19,Graphic Design,1,Ha Noi,8.3,5.2,4,2,5,5,5,4,4,3,3,4,3,5,2,3,3,4,5,4,3,5,3,4,4,5,3,3,4,5,5,5,4,5,4
ST137,Female,19,Information Technology,1,Can Tho,7.92,2.5,4,3,1,4,4,5,4,3,4,3,3,2,2,2,3,5,4,3,3,4,5,5,3,4,4,4,3,5,5,5,4,4,5
ST138,Male,24,Information Technology,2,Can Tho,6.54,5.5,2,2,1,4,4,5,4,4,4,3,4,3,4,3,5,3,3,2,3,3,3,3,4,3,3,2,3,5,5,5,2,2,3
